,step,n_step,ae_model_type,codebook_size,env_name,filter_size,final_latent_dim,latent_dim,trans_hidden,experiment_key,random_state_distrib_kl_div,random_uniform_distrib_kl_div,goal_state_distrib_kl_div,goal_delayed_state_distrib_kl_div,goal_uniform_distrib_kl_div,explore_right_state_distrib_kl_div,explore_right_delayed_state_distrib_kl_div,explore_right_uniform_distrib_kl_div,e2e_loss
0,0,0,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,,,,,,,,,
1,1,1,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,4.062773659825325E-4,2.9631471633911133,,,,,,,
2,2,2,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.002526728669181466,2.4012930393218994,,,,,,,
3,3,3,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.004527479875832796,2.060746192932129,,,,,,,
4,4,4,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.028106993064284325,1.8290282487869263,,,,,,,
5,5,5,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.011075405403971672,1.6458309888839722,,,,,,,
6,6,6,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.025859199464321136,1.502053141593933,,,,,,,
7,7,7,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.020945725962519646,1.3871979713439941,,,,,,,
8,8,8,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.029973777011036873,1.285766839981079,,,,,,,
9,9,9,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.05039599910378456,1.1958539485931396,,,,,,,
10,10,10,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.03187355399131775,1.1145355701446533,,,,,,,
11,11,11,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.03260562941431999,1.0433870553970337,,,,,,,
12,12,12,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.03534084931015968,0.9822044968605042,,,,,,,
13,13,13,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.04899444431066513,0.922993540763855,,,,,,,
14,14,14,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.04703785479068756,0.8737687468528748,,,,,,,
15,15,15,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.04055168107151985,0.8220321536064148,,,,,,,
16,16,16,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.025231894105672836,0.7757061719894409,,,,,,,
17,17,17,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.024147719144821167,0.7334802746772766,,,,,,,
18,18,18,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.05180967599153519,0.6925769448280334,,,,,,,
19,19,19,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.022851556539535522,0.6544463634490967,,,,,,,
20,20,20,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.01599251665174961,0.6217685341835022,,,,,,,
21,21,21,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.019368641078472137,0.5909252166748047,,,,,,,
22,22,22,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.024683356285095215,0.5586317777633667,,,,,,,
23,23,23,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.017528418451547623,0.5349504351615906,,,,,,,
24,24,24,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.017095521092414856,0.5081539750099182,,,,,,,
25,25,25,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.022319843992590904,0.4803164005279541,,,,,,,
26,26,26,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.020238462835550308,0.45506998896598816,,,,,,,
27,27,27,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.025127647444605827,0.4341760277748108,,,,,,,
28,28,28,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.01880483888089657,0.41364923119544983,,,,,,,
29,29,29,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.015018261969089508,0.3960984945297241,,,,,,,
30,30,30,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,46b12c3cc8d54b228a2271cd882d7a92,0.020605534315109253,0.3792126774787903,,,,,,,
31,0,0,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,d0caa52c79a54dcf9ccc719fca142721,,,,,,,,,
32,1,1,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,d0caa52c79a54dcf9ccc719fca142721,7.3271244764328E-4,2.9631471633911133,,,,,,,
33,2,2,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,d0caa52c79a54dcf9ccc719fca142721,0.0029855892062187195,2.4012930393218994,,,,,,,
34,3,3,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,d0caa52c79a54dcf9ccc719fca142721,0.004388622473925352,2.060746192932129,,,,,,,
35,4,4,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,d0caa52c79a54dcf9ccc719fca142721,0.01974928379058838,1.8290282487869263,,,,,,,
36,5,5,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,d0caa52c79a54dcf9ccc719fca142721,0.01750042289495468,1.6458309888839722,,,,,,,
37,6,6,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,d0caa52c79a54dcf9ccc719fca142721,0.026926159858703613,1.502053141593933,,,,,,,
38,7,7,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,d0caa52c79a54dcf9ccc719fca142721,0.03272879868745804,1.3871979713439941,,,,,,,
39,8,8,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,d0caa52c79a54dcf9ccc719fca142721,0.02095404453575611,1.285766839981079,,,,,,,
40,9,9,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,d0caa52c79a54dcf9ccc719fca142721,0.038653627038002014,1.1958539485931396,,,,,,,
41,10,10,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,d0caa52c79a54dcf9ccc719fca142721,0.05372900143265724,1.1145355701446533,,,,,,,
42,11,11,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,d0caa52c79a54dcf9ccc719fca142721,0.02420051395893097,1.0433870553970337,,,,,,,
43,12,12,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,d0caa52c79a54dcf9ccc719fca142721,0.04665753245353699,0.9822044968605042,,,,,,,
44,13,13,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,d0caa52c79a54dcf9ccc719fca142721,0.05077502876520157,0.922993540763855,,,,,,,
45,14,14,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,d0caa52c79a54dcf9ccc719fca142721,0.0393039733171463,0.8737687468528748,,,,,,,
46,15,15,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,d0caa52c79a54dcf9ccc719fca142721,0.021841617301106453,0.8220321536064148,,,,,,,
47,16,16,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,d0caa52c79a54dcf9ccc719fca142721,0.021335674449801445,0.7757061719894409,,,,,,,
48,17,17,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,d0caa52c79a54dcf9ccc719fca142721,0.021909907460212708,0.7334802746772766,,,,,,,
49,18,18,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,d0caa52c79a54dcf9ccc719fca142721,0.022921884432435036,0.6925769448280334,,,,,,,
50,19,19,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,d0caa52c79a54dcf9ccc719fca142721,0.044001586735248566,0.6544463634490967,,,,,,,
51,20,20,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,d0caa52c79a54dcf9ccc719fca142721,0.025703733786940575,0.6217685341835022,,,,,,,
52,21,21,ae,None,MiniGrid-Empty-6x6-v0-fullobs,8,64,64,64,d0caa52c79a54dcf9ccc719fca142721,0.02483704313635826,0.5909252166748047,,,,,,,
