,step,n_step,ae_model_type,codebook_size,env_name,filter_size,final_latent_dim,latent_dim,experiment_key,goal_state_distrib_kl_div,goal_delayed_state_distrib_kl_div,goal_uniform_distrib_kl_div,explore_right_state_distrib_kl_div,explore_right_delayed_state_distrib_kl_div,explore_right_uniform_distrib_kl_div
0,0,0,ae,None,minigrid-door-key-stochastic,8,1024,1024,f5644e63aab64d3a9c547106e73f1f64,,,,,,
1,1,1,ae,None,minigrid-door-key-stochastic,8,1024,1024,f5644e63aab64d3a9c547106e73f1f64,0.04527623951435089,-3.2975943753399406E-8,5.214484691619873,,,
2,2,2,ae,None,minigrid-door-key-stochastic,8,1024,1024,f5644e63aab64d3a9c547106e73f1f64,0.0812004953622818,9.948359489440918,4.824257850646973,,,
3,3,3,ae,None,minigrid-door-key-stochastic,8,1024,1024,f5644e63aab64d3a9c547106e73f1f64,0.20183633267879486,8.261832237243652,4.583188056945801,,,
4,4,4,ae,None,minigrid-door-key-stochastic,8,1024,1024,f5644e63aab64d3a9c547106e73f1f64,5.344983100891113,5.553465366363525,4.410275936126709,,,
5,5,5,ae,None,minigrid-door-key-stochastic,8,1024,1024,f5644e63aab64d3a9c547106e73f1f64,9.443248748779297,4.675449848175049,4.25632381439209,,,
6,6,6,ae,None,minigrid-door-key-stochastic,8,1024,1024,f5644e63aab64d3a9c547106e73f1f64,9.488795280456543,4.278069496154785,4.131308078765869,,,
7,7,7,ae,None,minigrid-door-key-stochastic,8,1024,1024,f5644e63aab64d3a9c547106e73f1f64,8.537101745605469,3.839041233062744,4.022337913513184,,,
8,8,8,ae,None,minigrid-door-key-stochastic,8,1024,1024,f5644e63aab64d3a9c547106e73f1f64,8.79663372039795,2.996077537536621,3.902053117752075,,,
9,9,9,ae,None,minigrid-door-key-stochastic,8,1024,1024,f5644e63aab64d3a9c547106e73f1f64,8.645528793334961,2.670072317123413,3.754103899002075,,,
10,10,10,ae,None,minigrid-door-key-stochastic,8,1024,1024,f5644e63aab64d3a9c547106e73f1f64,10.479024887084961,2.382275342941284,3.607405662536621,,,
11,11,11,ae,None,minigrid-door-key-stochastic,8,1024,1024,f5644e63aab64d3a9c547106e73f1f64,10.38025188446045,1.9763329029083252,3.5106945037841797,,,
