,step,n_step,explore_right_state_distrib_kl_div,explore_right_delayed_state_distrib_kl_div,explore_right_uniform_distrib_kl_div,ae_model_type,codebook_size,env_name,filter_size,final_latent_dim,latent_dim,experiment_key,goal_state_distrib_kl_div,goal_delayed_state_distrib_kl_div,goal_uniform_distrib_kl_div
0,1,1,1.4371871948242188,-1.2575820385052339E-8,4.125888347625732,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
1,2,2,1.092798113822937,14.875706672668457,3.252357006072998,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
2,3,3,1.3623911142349243,12.45455551147461,2.838869571685791,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
3,4,4,1.4193778038024902,8.472773551940918,2.556366205215454,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
4,5,5,2.850566864013672,7.351248264312744,2.272615432739258,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
5,6,6,3.852261543273926,6.850794315338135,2.03851318359375,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
6,7,7,5.988218784332275,6.347210884094238,1.8772066831588745,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
7,8,8,5.700234413146973,5.670026779174805,1.6660131216049194,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
8,9,9,6.005293369293213,4.238461017608643,1.6311497688293457,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
9,10,10,6.807384014129639,2.861453056335449,1.50969660282135,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
10,11,11,8.222698211669922,2.4535157680511475,1.4928786754608154,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
11,12,12,8.11686897277832,2.263629198074341,1.4022693634033203,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
12,13,13,9.002165794372559,2.0371580123901367,1.3917887210845947,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
13,14,14,8.602499008178711,1.7373374700546265,1.3130027055740356,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
14,15,15,10.02703857421875,1.415396809577942,1.2793574333190918,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
15,16,16,9.960885047912598,1.2937991619110107,1.2191170454025269,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
16,17,17,9.960640907287598,1.134320616722107,1.1728041172027588,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
17,18,18,11.032694816589355,0.9439319372177124,1.0991735458374023,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
18,19,19,11.406113624572754,0.8465741872787476,1.0757534503936768,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
19,20,20,11.867555618286133,0.6386035680770874,1.005475640296936,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
20,21,21,11.767972946166992,0.5286281704902649,0.9905245900154114,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
21,22,22,12.408754348754883,0.45055773854255676,0.9254506230354309,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
22,23,23,12.078502655029297,0.36843782663345337,0.8945260047912598,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
23,24,24,12.466733932495117,0.31831130385398865,0.8494420647621155,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
24,25,25,12.263592720031738,0.25887253880500793,0.839812159538269,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
25,26,26,12.227346420288086,0.21605166792869568,0.8013749718666077,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
26,27,27,12.463623046875,0.18687067925930023,0.789379358291626,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
27,28,28,12.580286026000977,0.16216082870960236,0.7740607857704163,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
28,29,29,12.332717895507812,0.13749411702156067,0.7702150344848633,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
29,30,30,12.956209182739258,0.11380628496408463,0.7695456147193909,vqvae,64,minigrid-crossing-stochastic,6,2304,None,bcac7b257c464f9abf6a456a98374cb9,,,
30,0,0,,,,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
31,1,1,13.590682983398438,-1.2575820385052339E-8,4.125888347625732,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
32,2,2,9.357806205749512,14.875706672668457,3.252357006072998,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
33,3,3,9.855958938598633,12.45455551147461,2.838869571685791,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
34,4,4,7.8674702644348145,8.472773551940918,2.556366205215454,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
35,5,5,7.107825756072998,7.351248264312744,2.272615432739258,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
36,6,6,7.958407878875732,6.850794315338135,2.03851318359375,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
37,7,7,8.325711250305176,6.347210884094238,1.8772066831588745,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
38,8,8,9.116069793701172,5.670026779174805,1.6660131216049194,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
39,9,9,9.833268165588379,4.238461017608643,1.6311497688293457,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
40,10,10,10.578447341918945,2.861453056335449,1.50969660282135,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
41,11,11,10.902889251708984,2.4535157680511475,1.4928786754608154,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
42,12,12,11.426189422607422,2.263629198074341,1.4022693634033203,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
43,13,13,11.686288833618164,2.0371580123901367,1.3917887210845947,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
44,14,14,11.842595100402832,1.7373374700546265,1.3130027055740356,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
45,15,15,12.212834358215332,1.415396809577942,1.2793574333190918,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
46,16,16,12.397418022155762,1.2937991619110107,1.2191170454025269,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
47,17,17,12.501572608947754,1.134320616722107,1.1728041172027588,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
48,18,18,12.734430313110352,0.9439319372177124,1.0991735458374023,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
49,19,19,12.732834815979004,0.8465741872787476,1.0757534503936768,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
50,20,20,12.959759712219238,0.6386035680770874,1.005475640296936,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
51,21,21,13.10402774810791,0.5286281704902649,0.9905245900154114,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
52,22,22,13.15630054473877,0.45055773854255676,0.9254506230354309,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
53,23,23,13.1302490234375,0.36843782663345337,0.8945260047912598,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
54,24,24,13.20739459991455,0.31831130385398865,0.8494420647621155,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
55,25,25,13.253433227539062,0.25887253880500793,0.839812159538269,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
56,26,26,13.262580871582031,0.21605166792869568,0.8013749718666077,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
57,27,27,13.254996299743652,0.18687067925930023,0.789379358291626,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
58,28,28,13.305364608764648,0.16216082870960236,0.7740607857704163,soft_vqvae,64,minigrid-crossing-stochastic,6,2304,None,23d726d64846451c90f97dc70692987e,,,
